year,data_mean_global
1280,704.9240738
1281,705.3620518
1282,705.9990092
1283,706.422015
1284,706.8411172
1285,707.708962
1286,708.1310389
1287,708.4980235
1288,708.9160432
1289,709.3439819
1290,709.5440664
1291,709.9559937
1292,710.2370555
1293,710.7040587
1294,711.3950351
1295,712.0140103
1296,712.5211031
1297,713.3509273
1298,713.5341243
1299,714.2179241
1300,714.2570836
1301,714.5489926
1302,714.7730326
1303,714.9069744
1304,714.9390453
1305,714.8698803
1306,714.1490157
1307,713.4679482
1308,712.7300091
1309,712.0149319
1310,711.2540786
1311,711.017976
1312,710.7660126
1313,710.507978
1314,710.2410292
1315,709.9538936
1316,709.0669753
1317,708.2009922
1318,707.3229148
1319,706.3510799
1320,705.9849814
1321,705.6479925
1322,705.2909963
1323,704.9539952
1324,704.6199958
1325,704.3290094
1326,704.0429569
1327,703.5349893
1328,703.0410001
1329,702.5409517
1330,701.9990677
1331,701.8609805
1332,701.6549935
1333,701.4070153
1334,701.243998
1335,701.0239765
1336,700.6720071
1337,700.4140227
1338,700.2089537
1339,699.8440462
1340,699.6019384
1341,699.1680556
1342,698.9609728
1343,698.7770711
1344,698.7679136
1345,698.3350327
1346,697.9909825
1347,697.6189964
1348,697.2710176
1349,696.9249311
1350,696.5431933
1351,697.1750072
1352,697.8330376
1353,698.4610802
1354,699.144933
1355,699.2630413
1356,699.350001
1357,699.4130347
1358,699.5320076
1359,699.6230302
1360,699.7660223
1361,699.9090043
1362,699.9560194
1363,700.0060214
1364,700.0810125
1365,700.1260163
1366,700.1790295
1367,700.3040186
1368,700.4330206
1369,700.5450116
1370,700.6560534
1371,700.8579505
1372,700.6890286
1373,700.5460009
1374,700.4160141
1375,700.2900033
1376,700.1590184
1377,700.083012
1378,700.0350144
1379,700.0040135
1380,699.9810079
1381,699.9590344
1382,700.0660134
1383,700.1740206
1384,700.283014
1385,700.3910298
1386,700.5229782
1387,700.4220144
1388,700.3170057
1389,700.224008
1390,700.111998
1391,699.960013
1392,699.851005
1393,699.7309917
