year,data_mean_global,data_mean_nh,data_mean_sh
233,672.037029387614,693.730357803089,650.343700972138
234,672.223016205261,693.916355847073,650.529676563448
235,672.36502601294,694.058385811332,650.671666214547
236,672.489012385709,694.182392501478,650.795632269939
237,672.586038244713,694.27941184084,650.892664648586
238,672.748014169291,694.441357620261,651.054670718322
239,672.880029542406,694.57339505895,651.186664025861
240,673.020014920142,694.713376698277,651.326653142006
241,673.127027078347,694.820407379268,651.433646777426
242,673.242016516086,694.935390812044,651.548642220128
243,673.334024545241,695.02741425048,651.640634840002
244,673.436021658827,695.129399623982,651.742643693671
245,673.542023112429,695.235401670884,651.848644553973
246,673.65502351738,695.348395816406,651.961651218354
247,673.772020564165,695.465393808223,652.078647320108
248,673.881023759196,695.574401087882,652.187646430509
249,673.993020203249,695.68639530153,652.299645104967
250,674.093020515563,695.786405351058,652.399635680067
251,674.173014974241,695.866414947864,652.479615000617
252,674.225024242451,695.918436257425,652.531612227477
253,674.29201769897,695.985416580038,652.598618817903
254,674.363028621162,696.056424140284,652.669633102039
255,674.458008898221,696.151393823879,652.764623972563
256,674.474008735049,696.167462834802,652.780554635297
257,674.448034071662,696.141483006856,652.754585136468
258,674.493002970366,696.186409172791,652.79959676794
259,674.47402300665,696.167491722895,652.780554290404
260,674.471017625811,696.164448309798,652.777586941824
261,674.47901569716,696.172455097271,652.785576297049
262,674.477019619437,696.170461433196,652.783577805677
263,674.479012033422,696.172452183394,652.78557188345
264,674.458020081881,696.151477114696,652.764563049066
265,674.436005291688,696.129460071212,652.742550512165
266,674.360017920801,696.053515263872,652.66652057773
267,674.298017744798,695.991484391498,652.604551098098
268,674.261014544916,695.95447577901,652.567553310821
269,674.214011678809,695.907483751794,652.520539605825
270,674.144013985864,695.837499564855,652.450528406873
271,674.061008301318,695.75450095389,652.367515648744
272,674.00805905107,695.701509841534,652.314608260605
273,674.008862250564,695.625471161938,652.392253339191
274,673.170011455225,694.249299235127,652.090723675323
275,672.315959119081,692.780094146825,651.851824091338
276,671.469002060016,691.318438110199,651.619566009833
277,670.663934774169,689.898412199526,651.429457348813
278,669.873170785904,688.59451408744,651.151827484369
279,670.121966982777,688.939527463579,651.304406501975
280,670.279058537699,689.295923751168,651.262193324231
281,670.507007886084,689.72232175014,651.291694022028
282,670.77107257702,690.185342117778,651.356803036263
283,670.971774620167,690.435195129496,651.508354110839
284,669.727999791654,688.344054838871,651.111944744438
285,668.446936844381,686.064112045016,650.829761643746
286,667.130908459976,683.750266163444,650.511550756509
287,665.805262616031,681.598317466232,650.012207765831
288,666.367968530452,682.366931073936,650.369005986968
289,666.834083444575,683.213526087825,650.454640801325
290,667.41099675817,684.16938096255,650.652612553789
291,667.890081692042,685.028587252751,650.751576131333
292,668.411875596956,685.838414131334,650.985337062578
293,667.99001584005,685.158915110806,650.821116569294
294,667.528977083979,684.347301518041,650.710652649917
295,667.077013501252,683.545854423194,650.60817257931
296,666.697981551289,682.816497267423,650.579465835154
297,666.272991355665,682.041896966404,650.504085744927
298,665.805987668509,681.224764263812,650.387211073206
299,665.334988652711,680.403990074322,650.2659872311
300,664.893040766941,679.645625572604,650.140455961279
301,664.793014004582,679.43106191061,650.154966098555
302,664.713989868888,679.271499468244,650.156480269532
303,664.597011381168,679.073737595671,650.120285166665
304,664.378970387855,678.775312845248,649.982627930463
305,664.203109972604,678.570977018993,649.835242926215
306,664.595002714988,679.249928642707,649.940076787269
307,664.957038538599,679.951667829309,649.962409247888
308,665.288007886492,680.622516201987,649.953499570998
309,665.655070493042,681.32908521857,649.981055767515
310,666.060929301221,682.032618070907,650.089240531536
311,665.950029419691,681.965355597975,649.934703241406
312,665.851991624168,681.868493734271,649.835489514065
313,665.739031538424,681.756629634457,649.721433442392
314,665.709988280531,681.728766710345,649.691209850717
315,665.601018299904,681.622840511177,649.579196088632
316,665.495991531925,681.532203747669,649.459779316181
317,665.370028166087,681.422399415525,649.317656916648
318,665.267964465332,681.336653006412,649.199275924253
319,664.996035722805,681.080971416706,648.911100028903
320,664.908011533293,681.014072871322,648.801950195265
321,664.85900332222,681.016456455373,648.701550189067
322,664.78401471555,680.99786346225,648.570165968851
323,664.738009410655,681.008234439192,648.467784382118
324,664.691010306786,681.017638134111,648.364382479462
325,664.661016615425,681.054730740056,648.267302490794
326,664.629996033093,681.155187019761,648.104805046425
327,664.563031345635,681.230358062191,647.89570462908
328,664.567992235454,681.377471586767,647.75851288414
329,664.501025159579,681.452693811921,647.549356507236
330,664.510019662138,681.610752035586,647.409287288691
331,664.593026477925,681.884615170666,647.301437785183
332,664.704001050303,682.193473560698,647.214528539908
333,664.745032618459,682.432404241615,647.057660995302
334,664.937046616247,682.822120644644,647.05197258785
335,665.066894947119,683.093463280949,647.040326613289
336,664.554020690131,682.382611079214,646.725430301048
337,664.094994102112,681.668541417932,646.521446786293
338,663.640972316502,680.95968841863,646.322256214375
